"Data","Último","Abertura","Máxima","Mínima","Vol.","Var%"
"Nov 21","81,22","83,26","85,50","77,62","231,07K","-3,74%"
"Out 21","84,38","78,49","86,70","77,55","6,30M","7,46%"
"Set 21","78,52","71,68","80,75","70,42","5,09M","7,58%"
"Ago 21","72,99","75,39","75,39","64,60","5,51M","-4,38%"
"Jul 21","76,33","74,69","77,84","67,44","5,85M","1,60%"
"Jun 21","75,13","69,39","76,60","69,29","5,06M","8,38%"
"Mai 21","69,32","66,70","70,24","64,57","5,09M","3,08%"
"Abr 21","67,25","63,12","68,95","61,25","5,05M","5,84%"
"Mar 21","63,54","64,85","71,38","60,27","6,63M","-3,92%"
"Fev 21","66,13","54,91","67,70","54,60","5,09M","18,34%"
"Jan 21","55,88","51,50","57,42","50,56","5,27M","7,88%"
"Dez 20","51,80","47,79","52,48","46,82","4,51M","8,85%"
"Nov 20","47,59","37,37","49,09","35,74","5,04M","27,04%"
"Out 20","37,46","42,17","43,57","36,64","5,15M","-8,52%"
"Set 20","40,95","45,60","46,22","39,30","4,40M","-9,56%"
"Ago 20","45,28","43,53","46,53","42,89","3,61M","4,57%"
"Jul 20","43,30","41,58","44,89","41,03","4,03M","5,22%"
"Jun 20","41,15","37,56","43,93","37,01","4,28M","16,47%"
"Mai 20","35,33","26,95","36,98","25,50","3,80M","39,81%"
"Abr 20","25,27","25,99","36,40","15,98","6,45M","11,13%"
"Mar 20","22,74","48,95","53,90","21,65","7,36M","-54,99%"
"Fev 20","50,52","56,16","60,00","50,05","5,27M","-13,14%"
"Jan 20","58,16","66,41","71,75","57,71","5,80M","-11,88%"
"Dez 19","66,00","60,73","68,99","60,30","4,45M","5,72%"
"Nov 19","62,43","59,45","64,60","59,40","4,79M","3,65%"
"Out 19","60,23","59,38","62,34","56,15","5,61M","-0,90%"
"Set 19","60,78","58,80","71,95","57,23","5,63M","0,58%"
"Ago 19","60,43","64,09","64,54","55,88","5,98M","-7,27%"
"Jul 19","65,17","65,05","67,65","61,29","5,71M","-2,07%"
"Jun 19","66,55","61,64","66,85","59,45","5,70M","3,19%"
"Mai 19","64,49","71,73","73,40","64,37","6,13M","-11,41%"
"Abr 19","72,80","67,58","75,60","67,58","5,49M","6,45%"
"Mar 19","68,39","66,48","68,89","64,02","4,84M","3,57%"
"Fev 19","66,03","61,06","67,73","60,46","4,55M","6,69%"
